Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
3/29/2019,356.5,373.75,375,356,441.01,-0.047,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/28/2019,374,373.75,374.75,372,105.83,0.001,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/27/2019,373.75,376.75,377,372,127.92,-0.009,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/26/2019,377.25,379.25,380.5,375.5,165.18,-0.007,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/25/2019,379.75,378.75,380.75,376.75,155.85,0.004,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/22/2019,378.25,375.75,380.75,375.5,222.58,0.005,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/21/2019,376.25,371,377.5,370.5,220.23,0.013,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/20/2019,371.5,371.5,372.5,368.75,101.48,0.001,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/19/2019,371.25,372,373.75,367.75,159.38,-0.001,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/18/2019,371.5,374,375.5,370.25,169.24,-0.005,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/15/2019,373.25,369.25,373.75,369,197.27,0.033,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/14/2019,361.5,360.25,363.25,360,0.39,0.012,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/13/2019,357.25,357.25,359.5,355,0.32,0.002,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/12/2019,356.5,353.25,357.75,352.75,0.8,0.011,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/11/2019,352.5,357.5,357.5,353,1.75,-0.006,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/8/2019,354.75,357.75,358.25,354,2.27,-0.004,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/7/2019,356,362.25,362.25,355.75,2.48,-0.018,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/6/2019,362.5,366,366,361,2.92,-0.01,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/5/2019,366,366,367.25,364.5,4.57,0.003,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/4/2019,365,365.25,368,364.5,5.27,0.003,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
3/1/2019,364,361.75,364,357.5,12.36,0.006,,,,,3,2019,,,,,,,,,,,,,,,,,,,,,
2/28/2019,362,363.75,364.75,361.25,23.51,-0.005,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/27/2019,363.75,366,368.25,362.5,189.22,-0.007,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/26/2019,366.25,370.75,371.25,365.5,242.77,-0.012,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/25/2019,370.5,377.75,378.5,370,344.71,-0.013,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/22/2019,375.25,374.75,377.75,374.5,316.66,-0.001,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/21/2019,375.5,371,378.5,370.5,257.19,0.013,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/20/2019,370.75,371.5,373.5,368.5,310.67,0.003,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/19/2019,369.75,374.25,376.25,369,230.71,-0.013,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/15/2019,374.75,374.75,376.5,373,209.1,0,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/14/2019,374.75,378.75,379,374,225.29,-0.011,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/13/2019,378.75,377.5,379,376.25,243.88,0.001,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/12/2019,378.25,373.5,378.75,373,291.26,0.015,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/11/2019,372.75,374.5,375,371.75,309.36,-0.004,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/8/2019,374.25,376.5,381.75,374,340.78,-0.006,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/7/2019,376.5,379.75,380.25,376.25,259.74,-0.009,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/6/2019,380,380.5,380.75,379,145.15,-0.002,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/5/2019,380.75,379.5,381.25,377,171.95,0.004,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/4/2019,379.25,377.75,379.75,376.5,145.83,0.003,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
2/1/2019,378.25,376.5,380.75,376.5,151.47,0.005,,,,,2,2019,,,,,,,,,,,,,,,,,,,,,
1/31/2019,376.5,381,381.5,375.75,205.75,-0.013,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/30/2019,381.25,377.75,381.5,377.5,198.9,0.011,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/29/2019,377.25,379.75,380.75,376,187.02,-0.007,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/28/2019,379.75,379.5,381,378,102.14,-0.001,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
